TREAT,AGE,EDUC,MARR,EARNINGS
0,40,12,1,44331.8
0,46,16,1,42854.1
0,37,15,1,45809.5
0,29,17,1,0
0,37,13,1,27337.9
0,42,12,1,70930.9
0,41,17,1,66497.7
0,51,12,1,48765
0,25,12,1,33987.7
0,33,17,1,40785.3
0,45,16,1,59109.1
0,43,17,1,41376.3
0,31,16,0,54675.9
0,33,17,1,40415.8
0,51,12,1,7388.63
0,38,12,1,36943.2
0,44,15,1,51232.8
0,40,16,1,45809.5
0,29,12,0,50242.7
0,32,12,1,38420.9
0,46,12,1,31032.3
0,37,12,0,32510
0,28,16,1,38420.9
0,34,16,1,20688.2
0,50,17,1,39898.6
0,37,17,1,31032.3
0,48,17,1,41376.3
0,48,12,1,36943.2
0,48,12,1,36943.2
0,36,14,1,41376.3
0,47,16,1,44331.8
0,50,17,1,70930.9
0,33,13,1,51073.2
0,51,16,1,48765
0,30,16,1,47287.3
0,33,16,1,41080.8
0,53,12,1,39898.6
0,35,15,1,35465.4
0,52,12,1,36943.2
0,25,17,1,38420.9
0,46,14,1,35465.4
0,39,17,1,0
0,27,17,0,44331.8
0,38,17,1,47287.3
0,44,17,1,51720.4
0,27,17,1,29554.5
0,32,12,1,41376.3
0,31,16,1,76841.8
0,45,14,1,36943.2
0,40,17,1,33987.7
0,40,17,1,33987.7
0,33,16,1,44331.8
0,47,16,1,38420.9
0,34,16,1,39898.6
0,42,16,1,47287.3
0,54,15,1,39304.6
0,43,12,1,45809.5
0,42,14,1,39898.6
0,46,16,1,36943.2
0,44,14,1,35465.4
0,53,16,1,51720.4
0,49,12,1,33987.7
0,50,16,0,40637.5
0,52,15,1,38420.9
0,31,17,1,47287.3
0,46,17,1,31298.2
0,35,17,1,33426.2
0,35,17,1,33426.2
0,39,12,1,23643.6
0,36,12,1,16255
0,25,16,0,23389.5
0,33,16,1,42854.1
0,46,16,1,48765
0,46,16,1,48765
0,27,13,1,11128.8
0,39,12,1,43740.7
0,50,16,1,33987.7
0,31,17,1,42854.1
0,47,17,1,35732.9
0,47,17,1,35732.9
0,38,14,1,44331.8
0,32,17,1,25121.4
0,29,12,1,27918.7
0,50,12,1,36943.2
0,51,12,1,35465.4
0,37,13,1,39529.2
0,44,17,1,36204.3
0,28,17,1,38420.9
0,36,13,0,44308.2
0,52,12,1,48765
0,35,17,1,39898.6
0,28,16,1,35465.4
0,26,17,1,44331.8
0,36,17,1,39603.1
0,44,17,1,37386.5
0,29,14,0,36943.2
0,26,12,1,26599.1
0,31,14,1,25860.2
0,43,17,1,30441.2
0,34,14,1,0
0,32,17,1,57631.3
0,33,15,1,35465.4
0,47,17,1,35465.4
0,47,12,1,42854.1
0,48,12,1,32510
0,27,16,1,40903.5
0,27,16,1,0
0,37,14,1,21870.4
0,50,17,1,13299.5
0,45,12,1,27377.8
0,53,13,1,35465.4
0,33,12,1,32510
0,41,16,1,42854.1
0,41,16,1,42854.1
0,33,16,1,96052.2
0,27,12,1,14777.3
0,40,16,1,56153.6
0,51,12,1,0
0,31,16,1,35465.4
0,47,12,1,42263
0,34,16,1,41671.9
0,45,12,1,38420.9
0,29,14,1,45809.5
0,40,16,1,36943.2
0,40,16,1,36943.2
0,34,12,1,36943.2
0,35,16,1,40489.7
0,34,16,1,35465.4
0,28,15,1,35465.4
0,46,14,1,33987.7
0,32,12,1,33987.7
0,55,12,1,25860.2
0,49,12,1,47287.3
0,31,17,1,62064.5
0,35,12,1,32510
0,35,12,1,32510
0,29,14,1,20688.2
0,32,12,0,27337.9
0,32,14,1,41376.3
0,34,12,1,39898.6
0,34,13,1,33396.6
0,27,17,1,39307.5
0,45,12,1,31032.3
0,37,17,1,41376.3
0,26,16,1,36943.2
0,53,16,1,22165.9
0,29,12,1,39159.8
0,33,15,1,33248.8
0,44,12,1,35465.4
0,35,16,1,31032.3
0,52,12,1,39012
0,26,14,1,34559.6
0,28,16,1,34726.6
0,39,12,1,28076.8
0,53,15,1,38420.9
0,42,14,1,48765
0,52,12,1,28667.9
0,29,17,1,26980.3
0,34,12,1,32510
0,42,13,1,44331.8
0,36,12,1,33987.7
0,34,12,1,31032.3
0,53,12,1,33544.4
0,30,12,1,37682
0,33,17,1,35465.4
0,25,14,1,35761
0,38,12,1,31771.1
0,52,16,1,28815.7
0,27,16,1,0
0,36,12,1,41376.3
0,50,17,1,25860.2
0,36,12,1,31032.3
0,49,14,1,29554.5
0,49,12,1,32580.9
0,36,13,1,28372.4
0,48,16,1,31918.9
0,48,16,1,31918.9
0,47,12,1,18914.9
0,47,12,1,18914.9
0,53,12,1,18914.9
0,44,14,1,26952.3
0,50,14,1,27314.3
0,22,14,1,32510
0,34,17,1,33987.7
0,43,12,0,33987.7
0,38,17,0,43297.4
0,31,12,1,32510
0,32,12,1,32510
0,27,16,1,39159.8
0,28,13,1,40637.5
0,43,14,1,31032.3
0,41,16,1,0
0,26,16,1,32510
0,27,17,1,36943.2
0,49,14,1,24530.3
0,34,17,0,9161.9
0,45,16,0,31401.7
0,43,16,1,33987.7
0,26,14,1,28032.5
0,38,17,0,33806
0,29,16,1,24825.8
0,32,14,1,70930.9
0,46,12,1,17437.2
0,35,14,1,42854.1
0,44,13,1,36943.2
0,51,16,1,44331.8
0,47,14,1,25150.9
0,31,14,1,38986.9
0,42,17,1,39159.8
0,39,14,1,31020.4
0,42,16,1,32214.4
0,53,16,1,32510
0,52,12,0,32510
0,40,12,1,27633.5
0,52,17,1,32510
0,44,16,1,33987.7
0,41,16,1,20688.2
0,44,16,1,19210.4
0,47,17,0,29259
0,48,17,1,32951.8
0,32,17,1,28076.8
0,31,12,1,27337.9
0,26,16,1,35465.4
0,53,17,1,27929
0,25,17,1,35561.5
0,39,14,1,47287.3
0,39,14,1,47287.3
0,45,12,1,25564.7
0,45,12,1,25564.7
0,31,17,1,32510
0,24,15,1,26599.1
0,51,17,1,88663.6
0,27,15,1,43001.8
0,25,15,1,35465.4
0,49,17,1,35465.4
0,37,17,1,27939.4
0,48,14,1,32510
0,48,12,1,34753.2
0,39,12,1,34726.6
0,28,12,1,39898.6
0,27,16,1,25860.2
0,27,12,1,31908.5
0,26,12,1,39898.6
0,32,12,1,23052.5
0,28,12,1,36204.3
0,35,16,1,37120.5
0,39,16,0,33987.7
0,30,12,1,14777.3
0,34,12,1,24678
0,43,12,1,31032.3
0,43,12,1,31032.3
0,37,14,1,81275
0,37,14,1,81275
0,27,16,0,36943.2
0,29,15,0,44331.8
0,32,14,1,22165.9
0,47,12,1,25860.2
0,22,14,1,27485.7
0,37,14,1,26554.7
0,47,12,1,15072.8
0,47,12,1,15072.8
0,27,16,1,51720.4
0,28,12,1,0
0,24,12,1,32510
0,31,12,1,29554.5
0,35,12,1,29554.5
0,34,12,1,31032.3
0,28,12,1,47287.3
0,31,14,1,56153.6
0,25,14,1,33839.9
0,31,12,1,39159.8
0,28,14,0,33987.7
0,36,17,1,32510
0,26,17,1,35465.4
0,34,17,1,32672.5
0,37,17,1,33987.7
0,34,17,1,25712.4
0,34,12,1,31180
0,34,12,1,31180
0,42,12,1,26008
0,33,17,1,19210.4
0,33,17,1,31032.3
0,26,14,0,29554.5
0,43,14,0,29554.5
0,50,13,1,28076.8
0,26,16,1,35022.1
0,26,12,1,33987.7
0,53,12,1,29554.5
0,35,17,1,28076.8
0,34,12,1,11821.8
0,33,16,1,96052.2
0,46,12,1,27781.3
0,46,12,1,27781.3
0,53,12,1,26599.1
0,38,12,1,31032.3
0,28,12,1,35465.4
0,38,12,1,30191.4
0,29,12,1,35465.4
0,46,12,1,33987.7
0,21,12,1,28815.7
0,48,16,1,0
0,42,12,1,28490.6
0,28,17,1,19210.4
0,47,17,1,42410.8
0,41,13,0,30293.4
0,26,12,1,38420.9
0,24,12,1,19243
0,55,12,1,29369.8
0,55,12,1,29369.8
0,29,16,1,0
0,54,12,1,31032.3
0,43,16,1,26953.7
0,28,12,1,34135.5
0,45,12,1,29259
0,34,16,1,35465.4
0,27,14,1,39898.6
0,29,16,1,42854.1
0,25,14,1,10935.2
0,25,16,1,32510
0,31,16,1,32510
0,39,14,1,31032.3
0,29,14,1,23348.1
0,55,12,1,31771.1
0,53,12,1,0
0,28,17,1,26451.3
0,28,17,1,31032.3
0,25,12,1,28076.8
0,41,12,1,32510
0,28,12,1,32510
0,34,14,1,36943.2
0,33,12,1,22757
0,26,17,1,49651.6
0,43,12,1,32510
0,24,17,0,32510
0,27,12,0,32510
0,32,16,1,33987.7
0,38,14,1,26599.1
0,33,13,1,38420.9
0,25,14,0,31032.3
0,21,12,1,31978
0,36,16,0,30736.7
0,38,14,1,27929
0,37,12,1,0
0,37,12,1,0
0,43,12,1,25121.4
0,51,16,1,28076.8
0,51,16,1,28076.8
0,27,17,1,26599.1
0,40,12,1,25440.5
0,45,12,1,25121.4
0,28,12,1,22165.9
0,49,12,1,26599.1
0,44,13,1,35465.4
0,26,12,1,32510
0,33,12,1,27846.3
0,33,14,1,24382.5
0,30,14,1,31032.3
0,54,13,1,24382.5
0,28,16,1,31032.3
0,26,15,1,28815.7
0,32,12,1,16255
0,30,17,1,20688.2
0,31,12,1,0
0,24,16,0,25712.4
0,29,14,1,29644.7
0,25,12,1,28520.1
0,28,13,1,23578.6
0,31,17,1,0
0,46,12,1,28076.8
0,34,13,1,31032.3
0,43,12,1,29554.5
0,22,12,1,32510
0,52,12,1,32510
0,33,17,1,28815.7
0,29,17,0,26599.1
0,28,17,1,51720.4
0,50,12,1,27337.9
0,48,12,1,23643.6
0,25,13,1,22165.9
0,42,17,1,36943.2
0,27,16,1,19210.4
0,29,12,1,42854.1
0,31,12,1,17732.7
0,31,12,1,17732.7
0,27,12,1,35465.4
0,29,15,1,32510
0,29,17,0,29315.1
0,50,12,1,26599.1
0,30,16,1,29554.5
0,39,12,1,6354.22
0,30,15,1,29554.5
0,42,16,1,29554.5
0,29,15,1,28815.7
0,28,12,1,29480.6
0,40,16,1,32421.3
0,40,16,1,32421.3
0,28,16,1,29554.5
0,25,12,1,35465.4
0,46,14,1,29554.5
0,47,13,1,26625.7
0,44,12,1,26746.9
0,53,12,1,26008
0,55,12,1,29554.5
0,22,12,0,19210.4
0,46,16,1,17732.7
0,46,16,1,17732.7
0,27,17,0,31032.3
0,25,12,0,26599.1
0,50,12,1,0
0,30,16,1,29259
0,26,16,0,15646.2
0,49,12,1,26599.1
0,45,14,1,26599.1
0,46,12,1,35465.4
0,26,16,1,35465.4
0,51,12,1,24825.8
0,34,16,1,0
0,40,12,1,23052.5
0,29,16,1,35465.4
0,28,17,1,22165.9
0,51,12,1,29554.5
0,30,17,1,38420.9
0,44,17,1,21427
0,37,13,1,32510
0,26,17,1,44331.8
0,49,17,1,29554.5
0,49,17,1,29554.5
0,30,12,1,28076.8
0,37,12,0,22461.4
0,37,12,0,22461.4
0,51,16,0,12708.4
0,31,12,1,22165.9
0,46,12,1,29554.5
0,27,12,1,31032.3
0,24,12,1,25121.4
0,23,12,1,32510
0,44,12,1,25634.1
0,27,12,0,25121.4
0,28,13,1,26599.1
0,25,13,1,23643.6
0,49,12,1,20244.9
0,20,12,1,25121.4
0,26,16,1,36943.2
0,33,16,1,24449
0,35,12,1,29554.5
0,25,16,0,30145.6
0,46,12,1,26780.8
0,26,12,1,26599.1
0,27,17,1,24530.3
0,27,17,1,24530.3
0,32,16,1,26599.1
0,44,12,1,25121.4
0,35,16,1,36943.2
0,39,17,1,27061.6
0,22,12,1,34320.2
0,29,12,1,24382.5
0,54,16,1,26451.3
0,54,16,1,26451.3
0,54,16,1,26451.3
0,26,16,1,29554.5
0,44,17,1,23348.1
0,45,12,1,27929
0,48,16,1,25121.4
0,26,16,0,9605.22
0,22,12,1,25121.4
0,22,13,1,39159.8
0,26,17,0,29702.3
0,30,16,1,38420.9
0,28,16,1,45809.5
0,29,12,1,28076.8
0,30,12,1,29554.5
0,35,16,1,25638.6
0,35,13,1,22165.9
0,28,13,1,23495.9
0,29,16,1,25860.2
0,35,16,0,24825.8
0,41,12,1,33987.7
0,45,12,1,10639.6
0,25,13,1,0
0,41,12,1,22165.9
0,34,12,1,22904.8
0,28,12,1,19210.4
0,28,12,1,21427
0,23,12,1,17437.2
0,36,13,1,25564.7
0,29,17,1,23643.6
0,28,14,1,27337.9
0,27,17,1,25860.2
0,27,16,1,36204.3
0,40,15,1,26599.1
0,46,12,0,0
0,31,17,1,27042.4
0,32,12,1,12412.9
0,24,13,1,449.229
0,27,14,1,23200.3
0,29,12,1,28076.8
0,51,12,1,19411.4
0,37,12,1,22904.8
0,27,12,1,33987.7
0,31,14,1,23939.2
0,21,12,1,0
0,49,12,1,23643.6
0,39,17,1,32510
0,28,14,1,36943.2
0,39,12,0,15516.1
0,25,17,1,28076.8
0,30,12,1,32510
0,25,12,0,18176
0,38,12,1,29554.5
0,55,12,1,26599.1
0,55,12,1,26599.1
0,54,12,1,2049.61
0,35,14,1,29554.5
0,35,14,1,29554.5
0,32,16,1,35465.4
0,26,14,1,31032.3
0,30,16,1,27042.4
0,29,13,1,0
0,29,13,1,0
0,32,12,1,26599.1
0,26,12,1,26599.1
0,31,16,1,28963.4
0,23,14,1,31032.3
0,25,13,1,26008
0,48,16,1,39898.6
0,48,16,1,39898.6
0,38,12,1,25121.4
0,22,12,1,26155.8
0,42,16,1,29554.5
0,36,14,1,33248.8
0,55,12,1,17732.7
0,35,16,1,21834.9
0,27,14,1,23531.3
0,28,12,1,29554.5
0,28,16,1,27337.9
0,42,17,1,0
0,42,17,1,0
0,35,14,1,22165.9
0,26,14,1,22165.9
0,24,12,1,23052.5
0,30,16,1,22165.9
0,28,16,1,11821.8
0,45,12,1,0
0,27,13,0,22165.9
0,35,12,1,29554.5
0,54,15,1,59109.1
0,25,12,1,25121.4
0,28,12,1,23643.6
0,31,14,1,27830
0,28,17,1,69453.1
0,34,17,1,23422
0,55,12,1,22165.9
0,23,12,1,18914.9
0,28,12,1,36943.2
0,31,12,1,22165.9
0,38,12,1,30293.4
0,28,12,1,0
0,27,12,1,12738
0,25,13,0,20850.7
0,50,16,0,39974
0,32,12,1,66497.7
0,32,12,1,31032.3
0,25,12,1,21279.3
0,26,12,1,0
0,26,12,1,27633.5
0,25,12,1,25195.2
0,27,15,1,0
0,23,12,1,14777.3
0,30,16,1,28076.8
0,24,16,0,26451.3
0,29,17,1,27042.4
0,47,13,1,24382.5
0,27,17,1,24086.9
0,46,12,1,22904.8
0,26,12,1,26599.1
0,28,12,1,22904.8
0,34,12,1,20688.2
0,22,14,1,20688.2
0,50,16,0,17732.7
0,27,17,1,28815.7
0,23,14,1,26599.1
0,27,16,0,42854.1
0,33,12,1,24973.6
0,31,12,1,29554.5
0,47,12,1,25564.7
0,43,14,1,28520.1
0,20,12,1,24382.5
0,34,12,1,26599.1
0,26,13,1,37238.7
0,44,12,1,23643.6
0,27,16,1,23643.6
0,29,12,1,22165.9
0,41,12,1,22165.9
0,27,15,1,35465.4
0,37,12,1,23269.8
0,37,12,1,23269.8
0,25,12,1,31032.3
0,24,16,1,29037.3
0,48,12,1,25399.2
0,50,12,1,26876.9
0,50,12,1,26876.9
0,50,12,1,26876.9
0,27,17,1,14777.3
0,27,14,1,26599.1
0,27,12,0,61769
0,46,12,1,23643.6
0,23,14,0,41376.3
0,26,13,1,25860.2
0,29,17,1,22165.9
0,27,12,1,18323.8
0,34,12,1,21131.5
0,51,12,1,24382.5
0,24,13,1,35317.7
0,23,12,1,25121.4
0,39,14,1,18619.4
0,23,12,0,2216.59
0,44,13,1,22165.9
0,28,14,1,22165.9
0,23,16,1,44331.8
0,25,17,1,53937
0,22,12,1,35465.4
0,21,12,1,38420.9
0,43,17,0,36943.2
0,23,12,1,58665.7
0,45,12,1,26633.1
0,34,14,1,22165.9
0,29,16,1,23643.6
0,41,17,1,22904.8
0,27,16,1,27633.5
0,25,14,1,31505.1
0,29,16,0,33248.8
0,37,12,1,24382.5
0,33,12,1,21427
0,26,16,1,29492.5
0,36,12,1,23643.6
0,21,12,1,12534.1
